Zambezi ,1 ,1 ,36 ,39 ,4 ,"",1 ,8 ,1 ,91
Erongo ,12 ,19 ,191 ,308 ,34 ,2 ,36 ,29 ,1 ,632
Hardap ,9 ,5 ,85 ,70 ,17 ,1 ,8 ,10 ,1 ,206
//Karas ,10 ,5 ,43 ,43 ,12 ,2 ,7 ,9 ,3 ,134
Kavango (East  & West) ,6 ,3 ,58 ,86 ,15 ,"",7 ,23 ,1 ,199
Khomas ,93 ,46 ,467 ,1350 ,86 ,9 ,105 ,197 ,1 ,2354
Kunene ,3 ,1 ,53 ,19 ,3 ,1 ,6 ,6 ,"",92
Ohangwena ,4 ,2 ,78 ,99 ,4 ,"",5 ,7 ,1 ,200
Omaheke ,2 ,1 ,48 ,28 ,2 ,"",2 ,8 ,"",91
Omusati ,2 ,1 ,142 ,61 ,2 ,"",3 ,2 ,4 ,217
Oshana ,16 ,5 ,198 ,233 ,12 ,1 ,15 ,20 ,2 ,502
Oshikoto ,15 ,"",149 ,101 ,10 ,3 ,23 ,6 ,3 ,310
Otjozondjupa ,32 ,4 ,170 ,201 ,13 ,3 ,42 ,24 ,1 ,490
