Erongo,2065,346,24.7,121,364,3243,1719,35166,150809,0.7,1.6
Hardap,580,142,33.8,111,175,746,438,9788,79507,3.5,4.3
Karas,462,84,9.1,52,81,588,378,12415,77421,0.7,1.2
Kavango,,,,,,,,,,,
"",734,171,35.1,109,179,994,563,6504,223352,5.4,1.6
East+West,,,,,,,,,,,
Khomas,8978,639,74.1,269,558,13803,8339,125748,342141,0.6,2.2
Kunene,445,85,16.9,91,90,556,360,5056,86856,3.3,1.9
Ohangwena,358,117,28.6,77,94,515,241,3077,245446,9.3,1.2
Omaheke,481,99,14.3,52,89,524,382,6454,71233,2.2,2.0
Omusati,388,130,32.5,91,126,587,258,4711,243166,6.9,1.3
Oshana,1346,332,66.3,195,274,1909,1014,26410,176674,2.5,3.8
Oshikoto,608,149,31.2,147,162,878,459,5277,181973,5.9,1.7
Otjozondjupa,1055,215,27.3,166,201,1283,840,18300,143903,1.5,1.9
Zambezi,335,76,11.7,50,77,415,259,3193,90596,3.7,1.3
Namibia,17835,2585,406,1531,2470,26041,15250,262099,2113077,1.5,1.9
