Erongo,2065,35166,150809,63579,0.032,2.4
Hardap,580,9788,79507,109651,0.005,0.7
Karas,462,12415,77421,161215,0.003,0.5
Kavango East+West,734,6504,223352,48463,0.015,4.6
Khomas,8978,125748,342141,37007,0.243,9.2
Kunene,445,5056,86856,115293,0.004,0.8
Ohangwena,358,3077,245446,10703,0.033,22.9
Omaheke,481,6454,71233,84612,0.006,0.8
Omusati,388,4711,243166,26573,0.015,9.2
Oshana,1346,26410,176674,8653,0.156,20.4
Oshikoto,608,5277,181973,38653,0.016,4.7
Otjozondjupa,1055,18300,143903,105185,0.010,1.4
Zambezi,335,3193,90596,14528,0.023,6.2
Namibia,17835,269907,2113077,824115,0.022,2.6
